id,text,liked_part,rec_part,original_rating,original_sentiment,verified_sentiment,changed,rationale
22,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes. There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.","1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes.","There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",4.2727,neutral,neutral,False,Consistent with original label.
23,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it","i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics","to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",4.2727,neutral,neutral,False,Balanced constructive suggestion / enhancement request without harsh complaint.
24,The journals and quizzes Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,The journals and quizzes,Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,3.4545,negative,negative,False,Consistent with original label.
25,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs. The slides could be more organised to make it easier to go through","1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs.",The slides could be more organised to make it easier to go through,4.8182,positive,positive,False,Consistent with original label.
26,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics I have none","I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics",I have none,3.5455,negative,positive,True,"Strong multi-point praise with no recommendations (""I have none"")."
27,"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it","How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable",The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it,3.9091,neutral,negative,True,"Explicit dissatisfaction/complaint regarding slide length, pacing, technical friction, or confusion."
28,"The lecturer was very detail oriented and had immense knowledge on all the topics being covered. 
I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms. The lecture notes were very long. 
Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together","The lecturer was very detail oriented and had immense knowledge on all the topics being covered. 
I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms.","The lecture notes were very long. 
Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together",4.4545,neutral,negative,True,"Explicit dissatisfaction/complaint regarding slide length, pacing, technical friction, or confusion."
29,"The course is very well structured and follows a logical flow from the BI 1 and BI 2. All steps outlined in KDD are covered throughout the course, and I have learnt a lot about data pipeline, pre-processing, training and deploying models. I think that every topic was explained in-depth, which helped me gain understanding about concepts that I would not have been able to achieve if I worked independently. I also enjoyed the lab tasks as they helped me understand the concepts more practically and enhanced the way I approached different problems. The lecturer is also very organised, in terms of both notes and assigning coursework, and knowledgeable, which I think enhanced the learning experience overall. In my opinion, more labs should be assigned to individuals (or slightly smaller groups) if possible. I think this will help learners in future classes be a little more independent and learn more from the labs.","The course is very well structured and follows a logical flow from the BI 1 and BI 2. All steps outlined in KDD are covered throughout the course, and I have learnt a lot about data pipeline, pre-processing, training and deploying models. I think that every topic was explained in-depth, which helped me gain understanding about concepts that I would not have been able to achieve if I worked independently. I also enjoyed the lab tasks as they helped me understand the concepts more practically and enhanced the way I approached different problems. The lecturer is also very organised, in terms of both notes and assigning coursework, and knowledgeable, which I think enhanced the learning experience overall.","In my opinion, more labs should be assigned to individuals (or slightly smaller groups) if possible. I think this will help learners in future classes be a little more independent and learn more from the labs.",4.9091,positive,positive,False,Positive experience with minor constructive feature suggestion.
30,"The modules made sense and there was a logical flow of ideas. I most especially enjoyed the Module on TIme series, Association Rule Mining and Natural Language Processing. In my opinion, when the lecturer is teaching he makes everything sound very important(i dont know if this makes sense, also not necessarily a negative thing) .I often end the class feeling overwhelmed and drained. I am not sure on what recommendations to give on this.

In addition, I was having a hard time doing the lab work. I suggest that maybe more explanations during class on how to do the lab work and have an example.","The modules made sense and there was a logical flow of ideas. I most especially enjoyed the Module on TIme series, Association Rule Mining and Natural Language Processing.","In my opinion, when the lecturer is teaching he makes everything sound very important(i dont know if this makes sense, also not necessarily a negative thing) .I often end the class feeling overwhelmed and drained. I am not sure on what recommendations to give on this.

In addition, I was having a hard time doing the lab work. I suggest that maybe more explanations during class on how to do the lab work and have an example.",4.4545,neutral,neutral,False,Consistent with original label.
31,it was engaging with the use of labs none,it was engaging with the use of labs,none,4.5455,neutral,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
32,"1. The in depth lectures where the theory lessons translated into practical examples which were demonstrated through the labs.
2. Writing the reflective journals after each module helped solidify the concepts learnt Implementation of more catch up sessions where the lecturer guides us more through the labs","1. The in depth lectures where the theory lessons translated into practical examples which were demonstrated through the labs.
2. Writing the reflective journals after each module helped solidify the concepts learnt",Implementation of more catch up sessions where the lecturer guides us more through the labs,4.0909,neutral,neutral,False,Consistent with original label.
33,"The labs and projects really help me grasp the content
The lecturer is very patient and understanding More Labs","The labs and projects really help me grasp the content
The lecturer is very patient and understanding",More Labs,4.5455,neutral,neutral,False,Consistent with original label.
34,"1. I liked the supplementary videos in between the lecture slides that assisted me gain better understanding of the concepts.
2. The additional notes in the lecture slides helped explain the concepts better.
3. The slides were comprehensive. Cats to be uniform across all groups","1. I liked the supplementary videos in between the lecture slides that assisted me gain better understanding of the concepts.
2. The additional notes in the lecture slides helped explain the concepts better.
3. The slides were comprehensive.",Cats to be uniform across all groups,4.7273,positive,positive,False,Consistent with original label.
35,"1. The seamless flow between the different modules acted as building blocks for better understanding of the next module
2. The technical integration to every module learnt If the school could provide hardware with better specs , for the unit is labour intensive on the machinery","1. The seamless flow between the different modules acted as building blocks for better understanding of the next module
2. The technical integration to every module learnt","If the school could provide hardware with better specs , for the unit is labour intensive on the machinery",4.4545,neutral,neutral,False,Consistent with original label.
36,"How applicable it is in real life
Learning new things Before getting into BI, maybe a short course on frontend and backend since BI is very technical","How applicable it is in real life
Learning new things","Before getting into BI, maybe a short course on frontend and backend since BI is very technical",4.5455,neutral,neutral,False,Consistent with original label.
37,"Hands on coding practice, Writing module reflections, Watching Assignments, Comprehensive Assessment. Giving more and more assignments, Inviting an Industry professional from a well known company whose shares are traded on the Nairobi Securities Exchange (NSE) in Kenya to give a talk.","Hands on coding practice, Writing module reflections, Watching Assignments, Comprehensive Assessment.","Giving more and more assignments, Inviting an Industry professional from a well known company whose shares are traded on the Nairobi Securities Exchange (NSE) in Kenya to give a talk.",5.0,positive,positive,False,Consistent with original label.
38,"The lecturer is nice and well-organized, he explains concepts well and is open to student opinions.
In Business Intelligence II, I appreciated how the concept of quizzes, group work labs where everyone has to commit something and the reflective journals really enable one to think deeply about what you have learnt thus content retention. Early preparation that the labs in this unit require applications that are storage consuming.","The lecturer is nice and well-organized, he explains concepts well and is open to student opinions.
In Business Intelligence II, I appreciated how the concept of quizzes, group work labs where everyone has to commit something and the reflective journals really enable one to think deeply about what you have learnt thus content retention.",Early preparation that the labs in this unit require applications that are storage consuming.,5.0,positive,positive,False,Consistent with original label.
39,The labs and the quizzes. More lab group work.,The labs and the quizzes.,More lab group work.,5.0,positive,positive,False,Consistent with original label.
40,Group works and quizzes -,Group works and quizzes,-,4.2727,neutral,neutral,False,Consistent with original label.
41,"It was thorough, and the course is interesting Less slides, 800 slides for one unit(BI 1) is overwhelming","It was thorough, and the course is interesting","Less slides, 800 slides for one unit(BI 1) is overwhelming",4.0909,neutral,negative,True,"Explicit dissatisfaction/complaint regarding slide length, pacing, technical friction, or confusion."
42,group and evaluation methords of teaching The notes are abit too many,group and evaluation methords of teaching,The notes are abit too many,4.2727,neutral,neutral,False,Consistent with original label.
43,"1.I liked how the course combined both theoretical and practical aspects of Business Intelligence, allowing me to understand concepts and then apply them in real-world scenarios.

2.The lecturer’s clarity and engagement made complex topics easier to grasp, and the use of practical exercises and class discussions helped reinforce understanding. 1.I recommend including more hands-on projects and case studies using real datasets and BI tools. This would help students better understand how Business Intelligence is applied in real business environments and strengthen their practical skills.","1.I liked how the course combined both theoretical and practical aspects of Business Intelligence, allowing me to understand concepts and then apply them in real-world scenarios.

2.The lecturer’s clarity and engagement made complex topics easier to grasp, and the use of practical exercises and class discussions helped reinforce understanding.",1.I recommend including more hands-on projects and case studies using real datasets and BI tools. This would help students better understand how Business Intelligence is applied in real business environments and strengthen their practical skills.,5.0,positive,positive,False,Consistent with original label.
44,#NAME? None at the moment. Everything is okay so far.,#NAME?,None at the moment. Everything is okay so far.,5.0,positive,positive,False,Consistent with original label.
45,"The consistency was good from the lecturer which was engaging, the labs and groups work was useful To be taken to career industry and career talks","The consistency was good from the lecturer which was engaging, the labs and groups work was useful",To be taken to career industry and career talks,3.7273,negative,positive,True,Positive evaluation of teaching quality and lab engagement.
46,"I like the structure and how each module kind of builds on the previous. I enjoy the different learning methods i.e labs, quizzes and group work A known certification associated with the unit would be nice","I like the structure and how each module kind of builds on the previous. I enjoy the different learning methods i.e labs, quizzes and group work",A known certification associated with the unit would be nice,4.7273,positive,positive,False,Consistent with original label.
47,"Good explanations of points 
Clear points Less slides on notes","Good explanations of points 
Clear points",Less slides on notes,4.0,neutral,negative,True,Substantive negative critique on slide volume/difficulty despite positive opening.
48,the interaction with Git was really nice and learning about tools maybe shortening of slides,the interaction with Git was really nice and learning about tools,maybe shortening of slides,5.0,positive,positive,False,Consistent with original label.
49,it was very interactive and very well taught it is okay,it was very interactive and very well taught,it is okay,3.9091,neutral,neutral,False,Consistent with original label.
50,quizes and practical assignments The knowledge provided in this Unit is unbelievably excess,quizes and practical assignments,The knowledge provided in this Unit is unbelievably excess,2.3636,negative,negative,False,Consistent with original label.
51,"Getting hands on with the labs
Getting to create and use the models Less bulky content","Getting hands on with the labs
Getting to create and use the models",Less bulky content,4.3636,neutral,neutral,False,Consistent with original label.
52,labs and the different levels and bonus marks break the units into smaller chuncks so that the slides are not so long .,labs and the different levels and bonus marks,break the units into smaller chuncks so that the slides are not so long .,4.3636,neutral,neutral,False,Consistent with original label.
53,"the labs had notebooks where we could learn from, Real life applications The slides are too bulky making it discouraging to read","the labs had notebooks where we could learn from, Real life applications",The slides are too bulky making it discouraging to read,4.2727,neutral,neutral,False,Consistent with original label.
54,"Timeliness, group work Less difficult cats","Timeliness, group work",Less difficult cats,2.9091,negative,negative,False,Consistent with original label.
55,"How to predict stocks
Visualization of data Using r studio","How to predict stocks
Visualization of data",Using r studio,5.0,positive,positive,False,Consistent with original label.
56,"The lab instructions
The group works
The practical examples used.
The journals To reduce the content a bit","The lab instructions
The group works
The practical examples used.
The journals",To reduce the content a bit,4.1818,neutral,neutral,False,Consistent with original label.
57,"Quizzes at the end of each module.
Labs for each module. Some form of certification after completing the course.","Quizzes at the end of each module.
Labs for each module.",Some form of certification after completing the course.,5.0,positive,positive,False,Consistent with original label.
58,Participative class and involving labs Shorter documents as slides,Participative class and involving labs,Shorter documents as slides,4.9091,positive,positive,False,Consistent with original label.
59,"1. Practical Application of Concepts: I liked that the course didn’t just focus on theory but also emphasized hands-on learning. Using real-world datasets and BI tools allowed me to see how concepts like data visualization, dashboards, and reporting apply directly to business decision-making.
2.Interactive Learning Environment: I appreciated how the teaching encouraged interaction through discussions, case studies, and group projects. This approach helped me understand complex topics like data analytics, predictive modeling, and KPIs more effectively because I could learn from both the lecturer and my peers.","1. Practical Application of Concepts: I liked that the course didn’t just focus on theory but also emphasized hands-on learning. Using real-world datasets and BI tools allowed me to see how concepts like data visualization, dashboards, and reporting apply directly to business decision-making.
2.Interactive Learning Environment: I appreciated how the teaching encouraged interaction through discussions, case studies, and group projects. This approach helped me understand complex topics like data analytics, predictive modeling, and KPIs more effectively because I could learn from both the lecturer and my peers.",,4.8182,positive,positive,False,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
60,"The group works
The content Please the notes are alot and if it's a sitin cat if alot is covered kindly consider open book cats.","The group works
The content",Please the notes are alot and if it's a sitin cat if alot is covered kindly consider open book cats.,4.5455,neutral,neutral,False,Consistent with original label.
61,It is very practical. Every topic had a lab. There is so much content in this unit as a whole and the theory becomes hard to grasp,It is very practical. Every topic had a lab.,There is so much content in this unit as a whole and the theory becomes hard to grasp,4.7273,positive,negative,True,Substantive negative critique on slide volume/difficulty despite positive opening.
62,"The material was delivered well. Like even though some topics were quite hard to understand the lecturer explained the content well without assuming we knew stuff.
The assignments given were good. Like they were comprehensive enough buy not too stressful to do
 The answers for the quiz should be provided after like we've done them for revision purposes","The material was delivered well. Like even though some topics were quite hard to understand the lecturer explained the content well without assuming we knew stuff.
The assignments given were good. Like they were comprehensive enough buy not too stressful to do",The answers for the quiz should be provided after like we've done them for revision purposes,4.6364,positive,neutral,True,Balanced constructive suggestion / enhancement request without harsh complaint.
63,It was more of practical than theory To reduce the contents of the notes the pages are too much,It was more of practical than theory,To reduce the contents of the notes the pages are too much,4.7273,positive,positive,False,Consistent with original label.
64,"The labs were engaging 
The classes were lively
 take away assignments","The labs were engaging 
The classes were lively",take away assignments,4.0,neutral,positive,True,Positive experience with minor constructive feature suggestion.
65,"It was vast and informative 
It exposed me to very interesting knowledge Less slides","It was vast and informative 
It exposed me to very interesting knowledge",Less slides,4.0909,neutral,neutral,False,Consistent with original label.
66,Interactive and Engaging,Interactive and Engaging,,4.2727,neutral,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
67,"I liked that it was more practical it keeps the unit interesting other than learning theory online
I liked that the lecturer had a lot of course work for us that will help boost our grades I feel like for this unit it should be held in parts of the school where the WIFI is 
stable","I liked that it was more practical it keeps the unit interesting other than learning theory online
I liked that the lecturer had a lot of course work for us that will help boost our grades","I feel like for this unit it should be held in parts of the school where the WIFI is 
stable",4.6364,positive,positive,False,Consistent with original label.
68,"I loved that most of these concepts were tied down to a real world application 

I also liked that the lecturer created pre-designed labs to help us understand a concept, before attempting it on our own Breaking down of topics with many slides will help. I think the brain gets drained when we see very many slides on one topic alone","I loved that most of these concepts were tied down to a real world application 

I also liked that the lecturer created pre-designed labs to help us understand a concept, before attempting it on our own",Breaking down of topics with many slides will help. I think the brain gets drained when we see very many slides on one topic alone,4.6364,positive,positive,False,Consistent with original label.
69,"Clear and structured presentation of complex information, making it easier to understand key concepts and data.
 More Interactive classes with an emphasis on visual aids to explain complex topics, e.g., videos, Case studies, and real-life applications of the technologies and tools, and their relevance. Practical focus on real-world applications and strategic insights, which helps connect theory to actionable outcomes.","Clear and structured presentation of complex information, making it easier to understand key concepts and data.","More Interactive classes with an emphasis on visual aids to explain complex topics, e.g., videos, Case studies, and real-life applications of the technologies and tools, and their relevance. Practical focus on real-world applications and strategic insights, which helps connect theory to actionable outcomes.",4.6364,positive,positive,False,Consistent with original label.
70,"The videos we watched explaining how some of the concepts we learn are implemented in the real world
I also liked the topic on time series forecasting, and the use case we focused on: the stock market. For topics with large content, it would be better to break down the slides. Reading notes from more than 200 slides can be daunting mentally.","The videos we watched explaining how some of the concepts we learn are implemented in the real world
I also liked the topic on time series forecasting, and the use case we focused on: the stock market.","For topics with large content, it would be better to break down the slides. Reading notes from more than 200 slides can be daunting mentally.",4.4545,neutral,neutral,False,Consistent with original label.
71,"1. The lecturer was quite graceful in explaining different topics and the required lab work.
2. The lab work was a bit hectic. Trying to go through each module while simultaneously covering theoretical practices was difficult. Lab submissions should be made a little easier for the next groups.","1. The lecturer was quite graceful in explaining different topics and the required lab work.
2. The lab work was a bit hectic. Trying to go through each module while simultaneously covering theoretical practices was difficult.",Lab submissions should be made a little easier for the next groups.,4.5455,neutral,neutral,False,Consistent with original label.
72,I liked that the lecturer would stop during the lecture and ask questions to the students. I also liked that we had quizzes at the end of each module.,I liked that the lecturer would stop during the lecture and ask questions to the students. I also liked that we had quizzes at the end of each module.,,4.0909,neutral,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
73,"1. Having the online class as the teaching class and the physical class as the practical class. (Helps enhanced understanding since any problem would be instantly helped and you usually repeat what you said in the online class as you show it practically)
2. The labs were a good source of understanding Less slides, a manageable amount for reading for exams should probably be released at the end of the semester","1. Having the online class as the teaching class and the physical class as the practical class. (Helps enhanced understanding since any problem would be instantly helped and you usually repeat what you said in the online class as you show it practically)
2. The labs were a good source of understanding","Less slides, a manageable amount for reading for exams should probably be released at the end of the semester",4.0,neutral,negative,True,Substantive negative critique on slide volume/difficulty despite positive opening.
74,The lab exposure None to comment,The lab exposure,None to comment,3.0,negative,negative,False,Consistent with original label.
75,"The Quizs, The Coding part Reduce the Notes Pleaaseeee!!!!! A lot of Content 
you can imagine 200-300 slides to read, this is a bit much 

Also To Teach us how code or explain the Lab submission Requirement","The Quizs, The Coding part","Reduce the Notes Pleaaseeee!!!!! A lot of Content 
you can imagine 200-300 slides to read, this is a bit much 

Also To Teach us how code or explain the Lab submission Requirement",4.2727,neutral,neutral,False,Consistent with original label.
76,"Hands-on, Practical Learning, Clear Guidance and Structured Content Include more real-world case studies or industry-based projects","Hands-on, Practical Learning, Clear Guidance and Structured Content",Include more real-world case studies or industry-based projects,5.0,positive,positive,False,Consistent with original label.
77,I liked the group work and the github collaborations for lab assignment The number of slides tends to feel very overhwhelming.,I liked the group work and the github collaborations for lab assignment,The number of slides tends to feel very overhwhelming.,3.5455,negative,negative,False,Consistent with original label.
78,Group work and assignments None from me,Group work and assignments,None from me,4.0,neutral,neutral,False,Consistent with original label.
79,The many course materials and coursework that helped deepen understanding,The many course materials and coursework that helped deepen understanding,,4.6364,positive,positive,False,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
80,Practical Application in NVDIA stock .,Practical Application in NVDIA stock,.,4.6364,positive,positive,False,Consistent with original label.
81,"The lec planned his lessons really well 
The notes were descriptive enough to understand the unit Maybe try lessen some of the notes.","The lec planned his lessons really well 
The notes were descriptive enough to understand the unit",Maybe try lessen some of the notes.,2.9091,negative,negative,False,Consistent with original label.
82,content delivery / further reading documents none as for now,content delivery / further reading documents,none as for now,4.6364,positive,positive,False,Consistent with original label.
83,"Lab work
data analysis
docker,apis Less assignments makes the unit hectic","Lab work
data analysis
docker,apis",Less assignments makes the unit hectic,3.9091,neutral,neutral,False,Consistent with original label.
84,standard to my career path the teaching was okay,standard to my career path,the teaching was okay,4.4545,neutral,neutral,False,Consistent with original label.
85,The work was well explained and I understood it. The notebooks were good way to learn the implementation.,The work was well explained and I understood it. The notebooks were good way to learn the implementation.,,5.0,positive,positive,False,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
86,The lecturer explained extensively all the topics and guided during the lab assignments. More of lab tutorials,The lecturer explained extensively all the topics and guided during the lab assignments.,More of lab tutorials,4.4545,neutral,neutral,False,Consistent with original label.
87,I liked the end-of-module quizzes and the lab assignments To have the end of topic journals,I liked the end-of-module quizzes and the lab assignments,To have the end of topic journals,4.0,neutral,neutral,False,Consistent with original label.
88,Course delivery by the lecturer the way we separate theory and practical classes More introduction to new Tools and softwares.,Course delivery by the lecturer the way we separate theory and practical classes,More introduction to new Tools and softwares.,4.7273,positive,positive,False,Consistent with original label.
89,"The course was taught extensively
The course allowed me to have hands on experience through lab work None at the moment","The course was taught extensively
The course allowed me to have hands on experience through lab work",None at the moment,5.0,positive,positive,False,Consistent with original label.
90,"classes start and end on time 
The lectures are well taught I have none","classes start and end on time 
The lectures are well taught",I have none,4.6364,positive,positive,False,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
91,"I enjoyed the labs and the quizzes Some of the tools did not run properly on school laptops, If this could be addressed for all future students, it would greatly improve the unit reception.",I enjoyed the labs and the quizzes,"Some of the tools did not run properly on school laptops, If this could be addressed for all future students, it would greatly improve the unit reception.",4.9091,positive,positive,False,Consistent with original label.
92,"Emphasis on Hands-on Projects, Integration of Business Context Replace a traditional final exam or large individual project with a team-based capstone project where students treat an instructor-provided dataset/scenario as a client request","Emphasis on Hands-on Projects, Integration of Business Context",Replace a traditional final exam or large individual project with a team-based capstone project where students treat an instructor-provided dataset/scenario as a client request,3.1818,negative,negative,False,Consistent with original label.
93,The balance between theory and practical lab sessions. The instructor’s clear explanations. Include more project-based assessments or group case studies using real business datasets,The balance between theory and practical lab sessions. The instructor’s clear explanations.,Include more project-based assessments or group case studies using real business datasets,4.6364,positive,positive,False,Consistent with original label.
94,Group work and communication The slides were lengthy,Group work and communication,The slides were lengthy,4.0,neutral,neutral,False,Consistent with original label.
95,it was interesting he’s so strict,it was interesting,he’s so strict,2.6364,negative,negative,False,Consistent with original label.
96,"The practical approach by using different tools like Docker and Power BI, made it easier to connect theory with application.
The course helped me identify areas I can apply Business Intelligence in the future A better way of communicating theory.. sometimes the content is too much making it too much information to process and understand at once","The practical approach by using different tools like Docker and Power BI, made it easier to connect theory with application.
The course helped me identify areas I can apply Business Intelligence in the future",A better way of communicating theory.. sometimes the content is too much making it too much information to process and understand at once,3.6364,negative,neutral,True,Balanced constructive suggestion / enhancement request without harsh complaint.
97,Lecture slides and lab instructions Use some classes to summarize/revise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,Lecture slides and lab instructions,Use some classes to summarize/revise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,4.5455,neutral,neutral,False,Consistent with original label.
