id,text,sentiment,source,rationale
orig_comb_27,"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it",negative,original_survey_combined,Combined student survey response
orig_comb_28,"The lecturer was very detail oriented and had immense knowledge on all the topics being covered. 
I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms. The lecture notes were very long. 
Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together",negative,original_survey_combined,Combined student survey response
orig_comb_29,"The course is very well structured and follows a logical flow from the BI 1 and BI 2. All steps outlined in KDD are covered throughout the course, and I have learnt a lot about data pipeline, pre-processing, training and deploying models. I think that every topic was explained in-depth, which helped me gain understanding about concepts that I would not have been able to achieve if I worked independently. I also enjoyed the lab tasks as they helped me understand the concepts more practically and enhanced the way I approached different problems. The lecturer is also very organised, in terms of both notes and assigning coursework, and knowledgeable, which I think enhanced the learning experience overall. In my opinion, more labs should be assigned to individuals (or slightly smaller groups) if possible. I think this will help learners in future classes be a little more independent and learn more from the labs.",positive,original_survey_combined,Combined student survey response
orig_comb_30,"The modules made sense and there was a logical flow of ideas. I most especially enjoyed the Module on TIme series, Association Rule Mining and Natural Language Processing. In my opinion, when the lecturer is teaching he makes everything sound very important(i dont know if this makes sense, also not necessarily a negative thing) .I often end the class feeling overwhelmed and drained. I am not sure on what recommendations to give on this.

In addition, I was having a hard time doing the lab work. I suggest that maybe more explanations during class on how to do the lab work and have an example.",neutral,original_survey_combined,Combined student survey response
orig_comb_31,it was engaging with the use of labs none,positive,original_survey_combined,Combined student survey response
orig_comb_32,"1. The in depth lectures where the theory lessons translated into practical examples which were demonstrated through the labs.
2. Writing the reflective journals after each module helped solidify the concepts learnt Implementation of more catch up sessions where the lecturer guides us more through the labs",neutral,original_survey_combined,Combined student survey response
orig_comb_33,"The labs and projects really help me grasp the content
The lecturer is very patient and understanding More Labs",neutral,original_survey_combined,Combined student survey response
orig_comb_34,"1. I liked the supplementary videos in between the lecture slides that assisted me gain better understanding of the concepts.
2. The additional notes in the lecture slides helped explain the concepts better.
3. The slides were comprehensive. Cats to be uniform across all groups",positive,original_survey_combined,Combined student survey response
orig_comb_35,"1. The seamless flow between the different modules acted as building blocks for better understanding of the next module
2. The technical integration to every module learnt If the school could provide hardware with better specs , for the unit is labour intensive on the machinery",neutral,original_survey_combined,Combined student survey response
orig_comb_36,"How applicable it is in real life
Learning new things Before getting into BI, maybe a short course on frontend and backend since BI is very technical",neutral,original_survey_combined,Combined student survey response
orig_comb_37,"Hands on coding practice, Writing module reflections, Watching Assignments, Comprehensive Assessment. Giving more and more assignments, Inviting an Industry professional from a well known company whose shares are traded on the Nairobi Securities Exchange (NSE) in Kenya to give a talk.",positive,original_survey_combined,Combined student survey response
orig_comb_38,"The lecturer is nice and well-organized, he explains concepts well and is open to student opinions.
In Business Intelligence II, I appreciated how the concept of quizzes, group work labs where everyone has to commit something and the reflective journals really enable one to think deeply about what you have learnt thus content retention. Early preparation that the labs in this unit require applications that are storage consuming.",positive,original_survey_combined,Combined student survey response
orig_comb_39,The labs and the quizzes. More lab group work.,positive,original_survey_combined,Combined student survey response
orig_comb_40,Group works and quizzes -,neutral,original_survey_combined,Combined student survey response
orig_comb_41,"It was thorough, and the course is interesting Less slides, 800 slides for one unit(BI 1) is overwhelming",negative,original_survey_combined,Combined student survey response
orig_comb_42,group and evaluation methords of teaching The notes are abit too many,neutral,original_survey_combined,Combined student survey response
orig_comb_43,"1.I liked how the course combined both theoretical and practical aspects of Business Intelligence, allowing me to understand concepts and then apply them in real-world scenarios.

2.The lecturer’s clarity and engagement made complex topics easier to grasp, and the use of practical exercises and class discussions helped reinforce understanding. 1.I recommend including more hands-on projects and case studies using real datasets and BI tools. This would help students better understand how Business Intelligence is applied in real business environments and strengthen their practical skills.",positive,original_survey_combined,Combined student survey response
orig_comb_44,#NAME? None at the moment. Everything is okay so far.,positive,original_survey_combined,Combined student survey response
orig_comb_45,"The consistency was good from the lecturer which was engaging, the labs and groups work was useful To be taken to career industry and career talks",positive,original_survey_combined,Combined student survey response
orig_comb_46,"I like the structure and how each module kind of builds on the previous. I enjoy the different learning methods i.e labs, quizzes and group work A known certification associated with the unit would be nice",positive,original_survey_combined,Combined student survey response
orig_comb_47,"Good explanations of points 
Clear points Less slides on notes",negative,original_survey_combined,Combined student survey response
orig_comb_48,the interaction with Git was really nice and learning about tools maybe shortening of slides,positive,original_survey_combined,Combined student survey response
orig_comb_49,it was very interactive and very well taught it is okay,neutral,original_survey_combined,Combined student survey response
orig_comb_50,quizes and practical assignments The knowledge provided in this Unit is unbelievably excess,negative,original_survey_combined,Combined student survey response
orig_comb_51,"Getting hands on with the labs
Getting to create and use the models Less bulky content",neutral,original_survey_combined,Combined student survey response
orig_comb_52,labs and the different levels and bonus marks break the units into smaller chuncks so that the slides are not so long .,neutral,original_survey_combined,Combined student survey response
orig_comb_53,"the labs had notebooks where we could learn from, Real life applications The slides are too bulky making it discouraging to read",neutral,original_survey_combined,Combined student survey response
orig_comb_54,"Timeliness, group work Less difficult cats",negative,original_survey_combined,Combined student survey response
orig_comb_55,"How to predict stocks
Visualization of data Using r studio",positive,original_survey_combined,Combined student survey response
orig_comb_56,"The lab instructions
The group works
The practical examples used.
The journals To reduce the content a bit",neutral,original_survey_combined,Combined student survey response
orig_comb_57,"Quizzes at the end of each module.
Labs for each module. Some form of certification after completing the course.",positive,original_survey_combined,Combined student survey response
orig_comb_58,Participative class and involving labs Shorter documents as slides,positive,original_survey_combined,Combined student survey response
orig_comb_59,"1. Practical Application of Concepts: I liked that the course didn’t just focus on theory but also emphasized hands-on learning. Using real-world datasets and BI tools allowed me to see how concepts like data visualization, dashboards, and reporting apply directly to business decision-making.
2.Interactive Learning Environment: I appreciated how the teaching encouraged interaction through discussions, case studies, and group projects. This approach helped me understand complex topics like data analytics, predictive modeling, and KPIs more effectively because I could learn from both the lecturer and my peers.",positive,original_survey_combined,Combined student survey response
orig_comb_60,"The group works
The content Please the notes are alot and if it's a sitin cat if alot is covered kindly consider open book cats.",neutral,original_survey_combined,Combined student survey response
orig_comb_61,It is very practical. Every topic had a lab. There is so much content in this unit as a whole and the theory becomes hard to grasp,negative,original_survey_combined,Combined student survey response
orig_comb_62,"The material was delivered well. Like even though some topics were quite hard to understand the lecturer explained the content well without assuming we knew stuff.
The assignments given were good. Like they were comprehensive enough buy not too stressful to do
 The answers for the quiz should be provided after like we've done them for revision purposes",neutral,original_survey_combined,Combined student survey response
orig_comb_63,It was more of practical than theory To reduce the contents of the notes the pages are too much,positive,original_survey_combined,Combined student survey response
orig_comb_64,"The labs were engaging 
The classes were lively
 take away assignments",positive,original_survey_combined,Combined student survey response
orig_comb_65,"It was vast and informative 
It exposed me to very interesting knowledge Less slides",neutral,original_survey_combined,Combined student survey response
orig_comb_66,Interactive and Engaging,positive,original_survey_combined,Combined student survey response
orig_comb_67,"I liked that it was more practical it keeps the unit interesting other than learning theory online
I liked that the lecturer had a lot of course work for us that will help boost our grades I feel like for this unit it should be held in parts of the school where the WIFI is 
stable",positive,original_survey_combined,Combined student survey response
orig_comb_68,"I loved that most of these concepts were tied down to a real world application 

I also liked that the lecturer created pre-designed labs to help us understand a concept, before attempting it on our own Breaking down of topics with many slides will help. I think the brain gets drained when we see very many slides on one topic alone",positive,original_survey_combined,Combined student survey response
orig_comb_69,"Clear and structured presentation of complex information, making it easier to understand key concepts and data.
 More Interactive classes with an emphasis on visual aids to explain complex topics, e.g., videos, Case studies, and real-life applications of the technologies and tools, and their relevance. Practical focus on real-world applications and strategic insights, which helps connect theory to actionable outcomes.",positive,original_survey_combined,Combined student survey response
orig_comb_70,"The videos we watched explaining how some of the concepts we learn are implemented in the real world
I also liked the topic on time series forecasting, and the use case we focused on: the stock market. For topics with large content, it would be better to break down the slides. Reading notes from more than 200 slides can be daunting mentally.",neutral,original_survey_combined,Combined student survey response
orig_comb_71,"1. The lecturer was quite graceful in explaining different topics and the required lab work.
2. The lab work was a bit hectic. Trying to go through each module while simultaneously covering theoretical practices was difficult. Lab submissions should be made a little easier for the next groups.",neutral,original_survey_combined,Combined student survey response
orig_comb_72,I liked that the lecturer would stop during the lecture and ask questions to the students. I also liked that we had quizzes at the end of each module.,positive,original_survey_combined,Combined student survey response
orig_comb_73,"1. Having the online class as the teaching class and the physical class as the practical class. (Helps enhanced understanding since any problem would be instantly helped and you usually repeat what you said in the online class as you show it practically)
2. The labs were a good source of understanding Less slides, a manageable amount for reading for exams should probably be released at the end of the semester",negative,original_survey_combined,Combined student survey response
orig_comb_74,The lab exposure None to comment,negative,original_survey_combined,Combined student survey response
orig_comb_75,"The Quizs, The Coding part Reduce the Notes Pleaaseeee!!!!! A lot of Content 
you can imagine 200-300 slides to read, this is a bit much 

Also To Teach us how code or explain the Lab submission Requirement",neutral,original_survey_combined,Combined student survey response
orig_comb_76,"Hands-on, Practical Learning, Clear Guidance and Structured Content Include more real-world case studies or industry-based projects",positive,original_survey_combined,Combined student survey response
orig_comb_77,I liked the group work and the github collaborations for lab assignment The number of slides tends to feel very overhwhelming.,negative,original_survey_combined,Combined student survey response
orig_comb_78,Group work and assignments None from me,neutral,original_survey_combined,Combined student survey response
orig_comb_79,The many course materials and coursework that helped deepen understanding,positive,original_survey_combined,Combined student survey response
orig_comb_80,Practical Application in NVDIA stock .,positive,original_survey_combined,Combined student survey response
orig_comb_81,"The lec planned his lessons really well 
The notes were descriptive enough to understand the unit Maybe try lessen some of the notes.",negative,original_survey_combined,Combined student survey response
orig_comb_82,content delivery / further reading documents none as for now,positive,original_survey_combined,Combined student survey response
orig_comb_83,"Lab work
data analysis
docker,apis Less assignments makes the unit hectic",neutral,original_survey_combined,Combined student survey response
orig_comb_84,standard to my career path the teaching was okay,neutral,original_survey_combined,Combined student survey response
orig_comb_85,The work was well explained and I understood it. The notebooks were good way to learn the implementation.,positive,original_survey_combined,Combined student survey response
orig_comb_86,The lecturer explained extensively all the topics and guided during the lab assignments. More of lab tutorials,neutral,original_survey_combined,Combined student survey response
orig_comb_87,I liked the end-of-module quizzes and the lab assignments To have the end of topic journals,neutral,original_survey_combined,Combined student survey response
orig_comb_88,Course delivery by the lecturer the way we separate theory and practical classes More introduction to new Tools and softwares.,positive,original_survey_combined,Combined student survey response
orig_comb_89,"The course was taught extensively
The course allowed me to have hands on experience through lab work None at the moment",positive,original_survey_combined,Combined student survey response
orig_comb_90,"classes start and end on time 
The lectures are well taught I have none",positive,original_survey_combined,Combined student survey response
orig_comb_91,"I enjoyed the labs and the quizzes Some of the tools did not run properly on school laptops, If this could be addressed for all future students, it would greatly improve the unit reception.",positive,original_survey_combined,Combined student survey response
orig_comb_92,"Emphasis on Hands-on Projects, Integration of Business Context Replace a traditional final exam or large individual project with a team-based capstone project where students treat an instructor-provided dataset/scenario as a client request",negative,original_survey_combined,Combined student survey response
orig_comb_93,The balance between theory and practical lab sessions. The instructor’s clear explanations. Include more project-based assessments or group case studies using real business datasets,positive,original_survey_combined,Combined student survey response
orig_comb_94,Group work and communication The slides were lengthy,neutral,original_survey_combined,Combined student survey response
orig_comb_95,it was interesting he’s so strict,negative,original_survey_combined,Combined student survey response
orig_comb_96,"The practical approach by using different tools like Docker and Power BI, made it easier to connect theory with application.
The course helped me identify areas I can apply Business Intelligence in the future A better way of communicating theory.. sometimes the content is too much making it too much information to process and understand at once",neutral,original_survey_combined,Combined student survey response
orig_comb_97,Lecture slides and lab instructions Use some classes to summarize/revise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,neutral,original_survey_combined,Combined student survey response
orig_comb_98,Involvement in learning and practice with the lab works More assignments and quizzes for more active engagement with the unit,neutral,original_survey_combined,Combined student survey response
orig_comb_99,"Separation of theory and practical subject between online and physical classes respectively, gides through practical labs Less software-intensive alternatives, (e.g avoiding using applications like Docker)",neutral,original_survey_combined,Combined student survey response
orig_comb_100,"The practical exercises and assignments helped me apply theoretical concepts to real-world scenarios.
 To be honest the lesson and lectures everything went smoothly",neutral,original_survey_combined,Combined student survey response
orig_comb_101,the lab assignments and the reflective journal i don't have any recommendations,positive,original_survey_combined,Combined student survey response
orig_comb_102,I liked the emphasis on practical understanding. Mr. Omondi is very dedicated to delivering the content well which I appreciate. Reduce the number of slides in BI 1 lecture notes. Most of them are inflated to be honest but the number of slides can be demoralizing to a student. If there is a way to reduce the number of slides while still maintaining the content it will positively impact the students of the future.,negative,original_survey_combined,Combined student survey response
orig_comb_103,Interesting,neutral,original_survey_combined,Combined student survey response
orig_comb_104,The group work labs and the lecture slides It would be better for lecturers to take students through labs in a clearer way by simplifying the steps or give explanations on why this should be done and the impact. This is because one would finish the lab without understanding the true objective or how to apply it.,neutral,original_survey_combined,Combined student survey response
orig_comb_105,There was room for further research and group work So far so good,positive,original_survey_combined,Combined student survey response
orig_comb_106,I liked the lab work and the assignments review More reviewing of the lab work to ensure proper understanding to the students,negative,original_survey_combined,Combined student survey response
orig_comb_107,"Detailed content in this unit
Labs that are helpful When it comes to specializations in 4th year, the knowledge on BI should be readily available to students before the said year. This will help them have a rough idea of what the unit is about.",neutral,original_survey_combined,Combined student survey response
orig_comb_108,"Enjoyed the detailed lab manuals and practical sessions.
The detailed notes in each topic and diagrams. Better integration of Slack in the workflow (i.e utilizing it in labs, etc).",neutral,original_survey_combined,Combined student survey response
orig_comb_109,"time series
how it helps in business corporations using IT less notes",neutral,original_survey_combined,Combined student survey response
orig_comb_110,The in-depth explanations. The lab manuals on the topics being covered More real world referencing,neutral,original_survey_combined,Combined student survey response
orig_comb_111,"I enjoyed the practical aspect of the teaching, especially the labs and group work for each module.

I enjoyed the fact that we have access to the notes from early so you can read ahead and/or follow along in class.

I enjoyed the fact that labs were group based and we had ample time to do them. I think reflections should be graded once at the end of the semester or at least 1 week following the end of the module to give students enough time to thoroughly reflect on the content.",neutral,original_survey_combined,Combined student survey response
orig_comb_112,"I liked the labs they were engaging and learned a little bit of python
I liked the that lecture slides were consise for BI 2 I would recommend more on considering students and placing dealines that one can submit late but not extremely late and not being given mising marks even if they did the work.",neutral,original_survey_combined,Combined student survey response
orig_comb_113,"1. I liked the labs we did 
2. The quality of teaching shorter lecture notes",neutral,original_survey_combined,Combined student survey response
orig_comb_114,The lecturer and the unit itself,positive,original_survey_combined,Combined student survey response
orig_comb_115,"I enjoyed my own personal studying of the course unit, that is, the research that I had to do trying to understand the concepts in the course.

I enjoyed the lab work as well; it helped in gaining better understanding of the application of the concepts learnt in class. Having better structured slides that are detailed in a simple manner for better understanding, the current slides make the topics seem so complicated when it's not, also they are not very dependable when doing revision which is a bummer!!!",negative,original_survey_combined,Combined student survey response
orig_comb_116,Learned how businesses use data to drive their operations. Make the course more hands on,positive,original_survey_combined,Combined student survey response
orig_comb_117,"The lecturer made sure ylu understand before proceeding 
The end quizzes were a good way of remembering what we covered On the journals ... im having an issue with the lecturer viewimg my work... hence im not being graded ... maybe to find a way to make that more seemless ... cause ive raised the issue and theres a lot of friction in it being handled",negative,original_survey_combined,Combined student survey response
orig_comb_118,I having practical labs to use real world tools and data to put the concepts I learn in class into practice. I enjoyed how practical examples where used to try and explain complex BI concepts. I have no reservations on this,positive,original_survey_combined,Combined student survey response
orig_comb_119,"The teaching was clear and engaging, and the examples made the lessons easy to understand as well as the engaging quizzes and lab works . I would probably recommend that more practical case studies or projects to apply BI concepts in real world scenarios should be included",neutral,original_survey_combined,Combined student survey response
orig_comb_120,The lab works were very important At least to assist in the lab works especially before submission,neutral,original_survey_combined,Combined student survey response
orig_comb_121,I liked the quizzes and The BI2 topics. Be more step by step for practical and also the number of slides,neutral,original_survey_combined,Combined student survey response
orig_comb_122,Mode of content delivery and practical lab exercises More individual assignments,positive,original_survey_combined,Combined student survey response
orig_comb_123,The lab work and reflective journal after each module and the way concepts were taught N/a,positive,original_survey_combined,Combined student survey response
orig_comb_124,Doing the labwork and learning new concepts We should have done a power BI certification,positive,original_survey_combined,Combined student survey response
orig_comb_125,"Regression 
Ml modelling",positive,original_survey_combined,Combined student survey response
orig_comb_126,Incredibly detailed. No opinion on the matter,positive,original_survey_combined,Combined student survey response
orig_comb_127,"Straight forward content 
Deep dive knowledge of the content Reduce the number of lecture slides, some content can be placed on 1 or two pages.",neutral,original_survey_combined,Combined student survey response
orig_comb_128,the practical enabled me to understand the concept being taught Have more labs where we are having one on one with the lecturer especially APIs,neutral,original_survey_combined,Combined student survey response
orig_f3_1,The teacher was engaging,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_1,More group time to work on group activities,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_2,Teaching was on time,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_2,More quizes,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_3,"Well detailed notes
Well explained concepts",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_3,More clear instructions given out during the lab work,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_4,The Lab works and Quizes,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_4,More engaging lessons,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_5,Interactive teaching and use of analogies,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_5,Everything's seemingly fine,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_6,Calm class,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_6,Introduce small class engagements and all,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_8,relation of content with application to the real world.,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_8,"probably less group work, more individual tasks to push someone to further explore on a certain matter.",neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_9,"I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding 
I also liked the structure of how the topics were arranged. Everything was very clear and well explained",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_9,"During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs",negative,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_11,"Learning kmeans
Learning APIs",neutral,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_11,Please have make up CATS because things genuinely happen and it's so unfair to the affected parties,negative,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_12,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_12,"Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_13,The mode of content delivery and assessment,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_13,More quizzes,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_14,"I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_14,"More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",negative,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_15,The merging between practical and theoretical knowledge,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_15,A project with a real business scenario through out the modules to help understand business intelligence real life activities,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_16,The content delivery and overall flow of content,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_16,Reducing the number of lab submissions made throughout the semester,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_17,Very Practical,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_17,"Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",negative,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_18,"I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_18,I would like more analogies used when teaching.,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_19,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_19,Reduced number of slides,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_20,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_20,Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_21,The method of explaining concepts,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_21,No recommendations,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_23,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes.",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_23,"There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_24,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_24,"to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_25,The journals and quizzes,positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_25,Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_26,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs.",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_26,The slides could be more organised to make it easier to go through,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_27,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_27,I have none,neutral,original_survey_f4,Atomic student response to recommendations/improvements
orig_f3_28,"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable",positive,original_survey_f3,Atomic student response to what they liked in the course
orig_f4_28,The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it,neutral,original_survey_f4,Atomic student response to recommendations/improvements
